Bleu-1,Image,PredCap
0.444444444,3477977145_4df89d69a1,startseq कुत्ता और सफेद कुत्ता पानी में कूद रहा है। endseq
0.444444444,3280173193_98c2d6a223,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.444444444,2913972180_547783dd3d,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.444444444,2735290454_1bd8bc5eac,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.444444444,2701042060_92508ea8fa,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.444444444,2606433181_f8f9d38579,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.444444444,2186367337_0ce9ce2104,startseq काला और सफेद कुत्ता बर्फ में चल रहा है। endseq
0.444444444,1801188148_a176954965,startseq भूरे और सफेद कुत्ते घास में चल रहे हैं। endseq
0.444444444,1405221276_21634dcd58,startseq भूरे और सफेद कुत्ते घास में चल रहे हैं। endseq
0.441248451,2192802444_b14bb87b95,startseq लड़का पानी के माध्यम से चल रहा है। endseq
0.439049309,3576741633_671340544c,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.4375,315125146_d9a8e60061,startseq भूरे रंग का कुत्ता और भूरे रंग का कुत्ता पानी के माध्यम से चल रहा है। endseq
0.429555799,2419186511_f0ce5f9685,startseq लड़का पानी के माध्यम से कूद रहा है। endseq
0.428571429,3640348910_fcd627ec66,startseq आदमी और लड़का स्केटबोर्ड पर खड़ा है। endseq
0.428571429,3631986552_944ea208fc,startseq आदमी बर्फ में बर्फ में खड़ा है। endseq
0.428571429,3373069977_bc73e9e409,startseq आदमी बर्फ में पहाड़ी पर कूदता है। endseq
0.428571429,2635938723_11b85e6763,startseq लड़का और लड़की और लड़की और लड़की और लड़की के साथ खेल रहे हैं। endseq
0.427453592,3155390408_8e1a81efb2,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.423240862,578274277_652cae32ba,startseq लड़का पानी में कूद रहा है। endseq
0.423240862,3621717946_d96f8a6012,startseq लड़का पानी में कूद रहा है। endseq
0.411764706,3444982197_0ff15cc50b,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के लिए पोज़ देते हैं। endseq
0.404353773,2660008870_b672a4c76a,startseq लड़का पानी में कूद रहा है। endseq
0.403370087,365759754_6cf7068c9a,startseq काला कुत्ता बर्फ में चल रहा है। endseq
0.402192028,544576742_283b65fa0d,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.402192028,3197981073_3156963446,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.402192028,3108544687_c7115823f5,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.402192028,1469358746_2a879abaf3,startseq लड़का बर्फ में खड़ा है। endseq
0.4,3380643902_7e0670f80f,startseq लड़का अपने हाथों के साथ पानी के पास खड़ा है। endseq
0.4,336551609_1385ab139e,startseq आदमी बर्फ से ढकी पहाड़ी पर पहाड़ी पर कूदता है। endseq
0.4,3217266166_4e0091860b,startseq आदमी बर्फ में खड़ा है। endseq
0.4,2934325103_e9b8d7430f,startseq आदमी बर्फ में चढ़ता है। endseq
0.4,2887798667_ce761d45e8,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.4,2831217847_555b2f95ca,startseq आदमी बर्फ में खड़ा है। endseq
0.4,2520255786_b70a3ec032,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.4,2419591925_1038c6c570,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.4,111766423_4522d36e56,startseq आदमी और लड़का पानी के माध्यम से चल रहा है। endseq
0.399324426,1818403842_553a2a392c,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.399026906,3526805681_38461c0d5d,startseq भूरे रंग का कुत्ता और भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.39807295,481632457_7372f18275,startseq काला और सफेद कुत्ता घास में कूद रहा है। endseq
0.39807295,3251906388_c09d44340e,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.39807295,3242354561_54e5a34925,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.39807295,2518094853_dfce24ce8c,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.397706363,918886676_3323fb2a01,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.397706363,481827288_a688be7913,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.397706363,3708266246_97a033fcc7,startseq काला और सफेद कुत्ता घास में कूद रहा है। endseq
0.397706363,3264337159_e1680a35ba,startseq काला और सफेद कुत्ता बर्फ में चल रहा है। endseq
0.397706363,3116731299_6139b25c18,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.397706363,2708634088_a4686be24c,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.397706363,2066271441_1f1f056c01,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.397706363,1418266617_b32143275b,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.389400392,308014594_f1d5e75507,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.386092395,2219959872_988e6d498e,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.384615385,3358682439_be4b83544c,startseq काला और सफेद कुत्ता अपने मुँह में छड़ी के साथ खेल रहा है। endseq
0.384615385,3188319076_71724fcc07,startseq भूरे रंग का कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.384615385,256292144_b53aadae27,startseq काला और सफेद कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.384615385,1096097967_ac305887b4,startseq काला और सफेद कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.384615385,1067790824_f3cc97239b,startseq काला और सफेद कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.38250228,3485599424_94de8ede51,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.38250228,2797511323_bf20acab45,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.38250228,2584487952_f70e5aa9bf,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.375738647,504904434_889f426c6e,startseq लड़का और लड़की और लड़की और लड़की और महिला के साथ खेल रहे हैं। endseq
0.375,512163695_51a108761d,startseq आदमी और औरत और लड़की और लड़की और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.375,3666169738_a8c74cf745,startseq लड़का पानी के माध्यम से कूद रहा है। endseq
0.375,3657016761_d553e514d9,startseq लड़का पानी के माध्यम से कूद रहा है। endseq
0.375,3426789838_8771f0ed56,startseq लड़का और लड़की और लड़की और लड़की और लड़की के साथ पानी के पास खड़ा है। endseq
0.375,2925760802_50c1e84936,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.375,181103691_fb2f956abd,startseq लड़का और लड़की और लड़की और लड़की और लड़की के साथ पानी के ऊपर खड़ा है। endseq
0.374202794,3466353172_deb128bbb0,startseq भूरे रंग का कुत्ता अपने मुंह में छड़ी के साथ घास पर चल रहा है। endseq
0.37225089,3359636318_39267812a0,startseq आदमी और महिला सड़क पर खड़े हैं। endseq
0.37225089,1584315962_5b0b45d02d,startseq आदमी बर्फ में बर्फ में खड़ा है। endseq
0.3715191,469969326_4b84073286,startseq आदमी और लड़का बर्फ में खड़ा है। endseq
0.3715191,400562847_e15aba0aac,startseq काला कुत्ता घास में चल रहा है। endseq
0.3715191,3350260112_fcb47ff6b2,startseq आदमी और लड़का बर्फ में खड़ा है। endseq
0.3715191,282116218_7fd7583d6e,startseq काला कुत्ता घास में चल रहा है। endseq
0.3715191,219301555_17883a51bd,startseq आदमी और लड़का बर्फ में खड़ा है। endseq
0.3715191,1413956047_c826f90c8b,startseq आदमी बर्फ में चट्टान पर खड़ा है। endseq
0.3715191,1329832826_432538d331,startseq आदमी और औरत सड़क पर खड़े हैं। endseq
0.37040911,3474958471_9106beb07f,startseq साइकिल चालक गंदगी बाइक के साथ हवा में चढ़ता है। endseq
0.363636364,521658170_a837af87e9,startseq भूरे रंग का कुत्ता पानी के माध्यम से चल रहा है। endseq
0.363636364,3405113041_4b72c24801,startseq आदमी समुद्र तट पर पानी के माध्यम से चल रहा है। endseq
0.363636364,3050114829_18bc5a6d7c,startseq आदमी समुद्र तट पर पानी के माध्यम से चल रहा है। endseq
0.363636364,2860667542_95abec3380,startseq आदमी समुद्र तट पर पानी के माध्यम से चल रहा है। endseq
0.362700239,2396669903_5217a83641,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.362165174,3569329986_1f468729b2,startseq लड़का पानी में कूद रहा है। endseq
0.361934967,3280644151_3d89cb1e0e,startseq आदमी और लड़का पानी के माध्यम से चल रहा है। endseq
0.361934967,2825540754_5e0c13e6b8,startseq आदमी और लड़का पानी के माध्यम से चल रहा है। endseq
0.361934967,2533424347_cf2f84872b,startseq आदमी और आदमी और सफेद कुत्ता बर्फ में खड़ा है। endseq
0.359463171,3144705706_391d7b77c7,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.358265655,3589895574_ee08207d26,startseq लड़का पानी में कूद रहा है। endseq
0.358265655,2789238858_14261dd25a,startseq कुत्ता बर्फ में कूद रहा है। endseq
0.358265655,2557129157_074a5a3128,startseq लड़का पूल में कूद रहा है। endseq
0.357142857,688210930_85c5675d5b,startseq आदमी और लड़की और महिला और महिला के साथ अपने मुंह में खड़ा है। endseq
0.357142857,3330654550_3efe9a71af,startseq आदमी और औरत और औरत और औरत और महिला के साथ पीछे खड़े हैं। endseq
0.357142857,177302997_5b2d770a0a,startseq लड़का और लड़की और लड़की और महिला के साथ पानी के पास खड़ा है। endseq
0.357142857,1002674143_1b742ab4b8,startseq लड़का और लड़की और लड़की और लड़की और लड़की के साथ खेल रहे हैं। endseq
0.356211327,403523132_73b9a1a4b3,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.356211327,323657582_b6b6d8f7bd,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.356211327,291952021_f111b0fb3d,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.356211327,2502079538_10ef2e976b,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.356211327,2271264741_aa8f73f87c,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.356211327,221973402_ecb1cd51f1,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.356138876,3132903412_b4780d0ccf,startseq आदमी और लड़की और महिला और महिला और महिला के साथ खड़ा है। endseq
0.35588329,493507605_48fe8e3739,startseq भूरे और सफेद कुत्ते घास में चल रहे हैं। endseq
0.35588329,3474999131_788cbf253f,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.35588329,3474330484_a01d8af624,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.35588329,3259002340_707ce96858,startseq काला और सफेद कुत्ता बर्फ में चल रहा है। endseq
0.35588329,3196995975_3e38eabf01,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.35588329,2713897716_c8cd610360,startseq काला और सफेद कुत्ता घास में कूद रहा है। endseq
0.35588329,2629295654_59ea1472a1,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.35588329,2378127945_8dc9da82d7,startseq काला और सफेद कुत्ता बर्फ में चल रहा है। endseq
0.35588329,2375924666_fee50f1cba,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.35588329,2268115375_69884e958d,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.34604563,3018304737_0a46fc5f1d,startseq आदमी बर्फ में बर्फ से ढकी पहाड़ के साथ खड़ा है। endseq
0.343644639,3730011219_588cdc7972,startseq लड़का पानी के माध्यम से कूद रहा है। endseq
0.343644639,2701603045_6cbdc4ce7c,startseq लड़का पानी के माध्यम से कूद रहा है। endseq
0.343644639,2255266906_8222af18b9,startseq आदमी बर्फ में चट्टान पर कूद रहा है। endseq
0.342278079,1357689954_72588dfdc4,startseq लड़का स्केटबोर्ड पर कूद रहा है। endseq
0.333333333,717673249_ac998cfbe6,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,562588230_edb2c071c8,startseq लड़का पानी में कूद रहा है। endseq
0.333333333,554526471_a31f8b74ef,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,510791586_3913ade6a7,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,505929313_7668f021ab,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,497579819_f91b26f7d3,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,495341977_b27279f962,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,399679638_d3036da331,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.333333333,391723162_3bdeb7ea33,startseq बर्फ में बर्फ में दो कुत्ते endseq
0.333333333,3717809376_f97611ab84,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,3626964430_cb5c7e5acc,startseq आदमी और सफेद और सफेद कुत्ता अपने मुंह में कूद रहा है। endseq
0.333333333,3626475209_f71cdd06bd,startseq काला और सफेद कुत्ता घास में कूद रहा है। endseq
0.333333333,3613800013_5a54968ab0,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,3558683579_8fb36b55a6,startseq आदमी और सफेद और सफेद कुत्ता अपने मुंह में कूद रहा है। endseq
0.333333333,3556598205_86c180769d,startseq आदमी बर्फ में बाइक की सवारी कर रहा है। endseq
0.333333333,3552435734_04da83b905,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,3545779287_8f52e06909,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,3542418447_7c337360d6,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,3518675890_2f65e23ff9,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,3514194772_43ba471982,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,3510219078_670b6b3157,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,3482974845_db4f16befa,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,3472540184_b0420b921a,startseq लड़का पानी में कूद रहा है। endseq
0.333333333,3457455611_94ee93929f,startseq लड़का पानी में कूद रहा है। endseq
0.333333333,3455920874_6fbec43194,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,3441531010_8eebbb507e,startseq काला और सफेद कुत्ता घास पर चल रहा है। endseq
0.333333333,3430526230_234b3550f6,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,3422146099_35ffc8680e,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,3371266735_43150bce52,startseq आदमी बर्फ में बाइक की सवारी कर रहा है। endseq
0.333333333,3368207495_1e2dbd6d3f,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,3317145805_071b15debb,startseq काला और सफेद कुत्ता पानी में चल रहा है। endseq
0.333333333,3257277774_aba333a94c,startseq काला और सफेद कुत्ता बर्फ में चल रहा है। endseq
0.333333333,3241892328_4ebf8b21ce,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.333333333,3239480519_22540b5016,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,321229104_3cbaf0f51c,startseq काला और सफेद कुत्ता बर्फ में चल रहा है। endseq
0.333333333,3123463486_f5b36a3624,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,3092200805_dd1f83ddbe,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,3074617663_2f2634081d,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,3036033157_522a43a550,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,2860372882_e0ef4131d4,startseq लड़का गेंद को पकड़ने के लिए तैयार करता है। endseq
0.333333333,2832487464_2d30634e1e,startseq काला और सफेद कुत्ता घास में कूद रहा है। endseq
0.333333333,2707244524_d57120d74a,startseq काला और सफेद कुत्ता बर्फ में चल रहा है। endseq
0.333333333,2656987333_80dcc82c05,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,2654514044_a70a6e2c21,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,2633201394_ee4a7666ed,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,2502856739_490db7a657,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,2463067409_78188c584c,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,2405599120_ec5f32af6f,startseq आदमी और लड़की और लड़की और महिला के साथ अपने हाथों के साथ खड़ा है। endseq
0.333333333,2393298349_e659308218,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,2367139509_1ee4530b28,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.333333333,236518934_c62a133077,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,2351762979_0941aecced,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,2333584535_1eaf9baf3e,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.333333333,2315807231_6948b3f3a5,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,2300920203_f29260b1db,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,229862312_1a0ba19dab,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,2233426944_0959835ced,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,2136992638_098d62a3c5,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,2108799322_e25aa6e185,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,2089350172_dc2cf9fcf6,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,2067362863_59577f9d4d,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.333333333,1975531316_8b00eeaaf7,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.333333333,1522787272_5a31497ef2,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,1454678644_7e5a371301,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.333333333,1267711451_e2a754b4f8,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.333333333,1117972841_2b9261f95f,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.332522421,3696246123_99d4d10140,startseq सफेद और सफेद कुत्ता और सफेद और सफेद कुत्ता पानी में कूद रहा है। endseq
0.330936338,2562483332_eb791a3ce5,startseq लड़का पानी के माध्यम से कूद रहा है। endseq
0.330936338,2203449950_e51d0f9065,startseq लड़का और लड़की और लड़की और लड़की और लड़की के साथ पानी के पास खड़ा है। endseq
0.329286982,3446762868_06e9d9d899,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.329286982,2359784186_36c9746d02,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.327492301,416960865_048fd3f294,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.327492301,396360611_941e5849a3,startseq आदमी बर्फ में पानी के माध्यम से चल रहा है। endseq
0.327492301,3716244806_97d5a1fb61,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.327492301,3689355450_fd559b816d,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.327492301,35506150_cbdb630f4f,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.327492301,3334866049_f5933344aa,startseq आदमी बर्फ में चढ़ता है। endseq
0.327492301,3223606402_bb2aa6db95,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.327492301,3040033126_9f4b88261b,startseq आदमी और लड़का पानी के माध्यम से चल रहा है। endseq
0.327492301,2873070704_2141a7a86a,startseq आदमी स्केटबोर्ड पर चढ़ता है। endseq
0.327492301,2732625904_4fbb653434,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.327003948,1131800850_89c7ffd477,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.325433444,3035785330_2fd5e32bb1,startseq आदमी और औरत और लड़की और लड़की और लड़की के साथ अपने हाथों के साथ खड़ा है। endseq
0.322061697,3467510271_0f57e52768,startseq आदमी बर्फ में बर्फ में खड़ा है। endseq
0.322061697,3443351431_7b4061df5c,startseq आदमी और लड़का बर्फ में खड़ा है। endseq
0.322061697,3353036763_4cbeba03b2,startseq आदमी और आदमी बर्फ में खड़ा है। endseq
0.322061697,269630255_c3ec75c792,startseq काला कुत्ता घास में चल रहा है। endseq
0.319754004,324355356_859988a710,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.3187519,3296715418_29542dcdc2,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.3187519,2956562716_5aa3f6ef38,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.3187519,2839789830_89668775a4,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.3187519,2774362575_7543b8bf19,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.3187519,260828892_7925d27865,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq
0.31845836,97406261_5eea044056,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.31845836,489773343_a8aecf7db3,startseq काला और सफेद कुत्ता पानी में चल रहा है। endseq
0.31845836,464116251_1ac4bc91f8,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.31845836,3651971126_309e6a5e22,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.31845836,3259757648_71edb4347b,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.31845836,3066491113_86569e15be,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.31845836,3030823649_3b7b6c728d,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.31845836,2458006588_754c4aa09c,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.31845836,224702242_a62aaa6dff,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.31845836,2220175999_081aa9cce8,startseq काला और सफेद कुत्ता पानी में चल रहा है। endseq
0.31845836,2066241589_b80e9f676c,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.316133607,2976946039_fb9147908d,startseq आदमी समुद्र तट पर पानी के माध्यम से चल रहा है। endseq
0.315974513,1312227131_771b5ed201,startseq आदमी समुद्र तट पर पानी के माध्यम से चल रहा है। endseq
0.312646515,1303335399_b3facd47ab,startseq लड़का पानी के माध्यम से कूद रहा है। endseq
0.3125,720208977_f44c2bba5b,startseq लड़का और लड़की और लड़की और लड़की और लड़की के साथ पानी के पास खड़ा है। endseq
0.3125,537359971_6e28f5e66e,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.3125,3685372942_6ae935b34e,startseq आदमी और लड़की और महिला और महिला और महिला के साथ कैमरे के लिए खड़ी है। endseq
0.3125,3371567346_b6522efdb8,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
