Bleu-1,Image,PredCap,Score
0.350048278,2354792215_eef2bdc753,startseq एक आदमी एक फुटबॉल की गेंद को पकड़ने के लिए तैयार हो जाता है। endseq,Average
0.344844426,3582920844_2742804f3d,startseq एक कुत्ता एक समुद्र तट पर एक झील के पास चलता है। endseq,Bad
0.343294524,330849796_c575c3108a,startseq एक आदमी एक तस्वीर के लिए प्रस्तुत कर रहा है। endseq,Bad
0.330316432,652542470_60e858da64,startseq एक छोटा लड़का एक पूल में कूद रहा है। endseq,Average
0.330316432,3589895574_ee08207d26,startseq एक छोटा लड़का एक पूल में कूद रहा है। endseq,Bad
0.328989001,3628994466_a12065d29b,startseq एक आदमी एक तस्वीर लेने के लिए तैयार हो जाता है। endseq,Bad
0.326247855,3533451027_b078e4631b,startseq एक सफेद शर्ट में एक आदमी एक फुटबॉल की गेंद को पकड़ने के लिए तैयार हो जाता है। endseq,Average
0.325234034,3612484827_0e479f9ee8,startseq एक लड़का एक सफेद गेंद को पकड़ने के लिए तैयार हो जाता है। endseq,Bad
0.322601352,3427852996_d383abd819,startseq एक आदमी एक चट्टान पर चढ़ रहा है। endseq,Bad
0.32225386,2988439935_7cea05bc48,startseq एक सफेद शर्ट में एक आदमी एक फुटबॉल की गेंद को पकड़ने के लिए तैयार हो जाता है। endseq,Average
0.321170327,417577408_eb571658c1,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.32002861,1430154945_71bbaa094a,startseq एक आदमी एक बड़े बड़े पेड़ के खिलाफ एक बेंच पर बैठता है। endseq,Bad
0.312393994,1187435567_18173c148b,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Bad
0.309285209,3537474810_cf676b3259,startseq एक सफेद शर्ट में एक आदमी एक फुटबॉल की गेंद को पकड़ने के लिए तैयार हो जाता है। endseq,Average
0.307193437,2660008870_b672a4c76a,startseq एक छोटा लड़का एक पूल में कूद रहा है। endseq,Good
0.306158763,3030566410_393c36a6c5,startseq एक छोटा लड़का एक समुद्र तट पर एक हैंडस्टैंड करता है। endseq,Average
0.30213754,3247598959_5b2348444c,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.30213754,2268596214_ca532f5c63,startseq एक आदमी एक तस्वीर के लिए प्रस्तुत कर रहा है। endseq,Very Good
